2	82	40	37	5	85	294	273	287	55	465	265	34	442	709	9	20	19	2	20	18	3	17	14	1	1	3	33	1	1	1	26	1	6	10	3	4	2881	2911	2568	2507	1853	1978	8294	2335	10	6	2020-21	Regular
3	82	45	28	9	99	302	225	265	45	428	280	42	469	742	6	29	6	6	16	22	3	21	6	5	1	0	37	6	3	2	17	5	6	5	1	5	2674	2592	2529	2492	1880	1714	8622	2233	6	10	2020-21	Regular
4	82	40	38	4	84	319	281	296	58	471	322	59	506	1017	13	21	18	2	19	20	2	17	13	2	5	2	29	5	1	5	22	2	6	11	1	5	3370	2698	2560	2728	2023	1835	9256	2419	4	2	2020-21	Regular
5	82	46	27	9	101	312	256	263	54	427	271	48	444	733	7	25	13	3	21	14	6	19	9	4	0	1	35	3	4	4	16	3	7	8	2	8	3432	2739	2477	2543	2008	1971	9551	2517	5	2	2020-21	Regular
6	82	25	46	11	61	231	325	283	37	459	294	50	483	877	7	15	18	8	10	28	3	5	23	4	6	4	12	2	7	6	36	2	7	8	2	3	2405	3227	2101	2019	1727	1793	6914	2208	4	2	2020-21	Regular
7	82	57	20	5	119	348	223	249	55	405	274	41	452	803	6	30	9	2	27	11	3	22	8	2	0	3	44	2	1	3	14	0	10	4	4	8	3269	2954	2536	2315	1784	1844	9699	2245	6	8	2020-21	Regular
8	82	34	40	8	76	244	275	291	39	486	247	35	412	755	5	23	15	3	11	25	5	8	20	4	4	2	23	4	5	6	31	2	5	5	1	4	2722	2779	2659	2231	1953	1903	8005	2252	6	4	2020-21	Regular
9	82	51	28	3	105	316	229	313	59	505	279	32	454	800	9	28	10	3	23	18	0	22	9	1	1	2	39	1	0	6	22	2	6	5	1	8	3130	2461	2901	2113	2079	1709	8841	2235	0	4	2020-21	Regular
10	82	29	46	7	65	237	288	300	48	496	303	55	504	925	5	19	17	5	10	29	2	12	19	1	3	2	23	6	4	1	34	1	5	6	2	3	2032	2897	2168	2505	1625	1732	7692	2086	9	5	2020-21	Regular
11	82	35	39	8	78	246	262	314	45	504	281	46	457	830	7	20	20	2	15	19	6	16	12	4	7	2	23	1	1	2	29	4	10	9	3	7	2423	2965	2789	2094	1628	1609	7399	1889	6	4	2020-21	Regular
12	82	56	17	9	121	381	220	239	44	389	247	31	409	692	11	30	8	2	26	9	7	17	9	6	3	1	46	0	3	5	15	3	5	2	3	10	4280	2436	2783	1996	1984	1926	10725	2421	3	10	2020-21	Regular
13	82	59	13	10	128	391	204	276	59	445	271	32	440	723	11	31	3	7	28	10	3	22	6	4	1	1	46	2	4	3	7	3	10	4	3	11	3168	3238	2727	3023	1932	1834	9200	2287	3	6	2020-21	Regular
14	82	11	65	6	28	141	344	275	28	464	304	55	496	878	5	9	30	2	2	35	4	6	24	2	1	2	9	7	1	1	50	2	1	8	3	3	2106	2934	2425	2731	1646	1843	7144	2294	6	0	2020-21	Regular
15	82	30	51	1	61	287	400	294	55	466	296	78	443	780	5	18	23	0	12	28	1	12	20	0	2	2	18	2	1	3	43	0	9	6	0	4	3150	3264	2243	3006	1626	1796	8985	2181	9	0	2020-21	Regular
16	82	38	34	10	86	270	257	289	42	492	297	45	499	834	12	24	13	4	14	21	6	15	14	3	3	2	29	1	0	3	30	6	6	3	4	3	2630	1168	2139	2582	1890	1904	8296	2257	4	1	2020-21	Regular
17	82	37	37	8	82	288	268	307	54	490	267	28	455	830	9	24	14	3	13	23	5	17	13	2	1	4	29	4	3	2	26	3	6	7	2	4	2918	2668	2462	2336	1827	1733	8292	2261	4	7	2020-21	Regular
60	82	23	55	4	50	193	322	269	32	464	282	54	460	713	5	11	26	4	12	29	0	10	20	2	0	3	19	3	2	0	45	1	4	7	1	4	2278	3321	2386	2616	1748	1934	7903	2425	9	3	2020-21	Regular
19	82	14	61	7	35	167	333	302	34	493	285	62	451	763	3	9	30	2	5	31	5	5	23	4	0	4	12	4	3	0	47	1	2	10	3	2	2185	1133	2199	2791	1733	1934	6875	2036	1	2	2020-21	Regular
53	82	30	44	8	68	232	295	269	41	434	329	59	535	886	1	17	20	4	13	24	4	9	18	5	3	2	23	3	1	2	35	6	5	6	1	4	2554	2926	2579	2666	1362	1368	6672	1806	6	3	2020-21	Regular
21	82	51	25	6	108	326	245	281	46	461	268	53	433	828	8	25	11	5	26	14	1	19	11	2	2	2	37	2	3	4	21	1	10	2	2	10	3357	2637	2455	2366	1834	1738	9052	2108	5	1	2020-21	Regular