1	"Allen, Jake"	ATL	55	3302	4.83	12	40	3	8	0	266	2129	2395	0.889	0	0	0	14	77	44	121	63.6	7	0	0	0	0	0	0	0	2019-20	Regular	Veteran
2	"Andersen, Frederik"	LSB	77	4515	3.71	29	40	5	8	0	279	2531	2810	0.901	0	0	0	2	1	5	6	16.7	1	0	0	0	0	0	0	0	2019-20	Regular	Veteran
3	"Bishop, Ben"	AUG	82	4841	3.22	50	23	7	3	3	260	2579	2839	0.908	0	2	2	20	84	64	148	56.8	10	0	0	0	0	0	0	0	2019-20	Regular	Veteran
4	"Bernier, Jonathan"		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
5	"Binnington, Jordan"	ATL	19	1090	4.84	2	14	2	3	0	88	653	741	0.881	0	0	0	4	27	9	36	75.0	2	0	0	0	0	0	0	0	2019-20	Regular	Rookie
6	"Blackwood, Mackenzie"	SCS	6	334	3.95	1	4	0	0	0	22	172	194	0.887	0	0	0	0	1	0	1	100.0	0	0	0	0	0	0	0	0	2019-20	Regular	Rookie
7	"Bobrovsky, Sergei"	VIC	77	4605	3.91	27	46	4	10	5	300	2612	2912	0.897	0	2	2	2	1	1	2	50.0	1	0	0	0	0	0	0	0	2019-20	Regular	Veteran
8	"Brossoit, Laurent"	SFC	6	308	2.73	2	3	0	0	0	14	176	190	0.926	0	0	0	0	1	1	2	50.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
9	"Anderson, Craig"		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
10	"Hutton, Carter"		59	3500	4.01	16	40	1	6	0	234	1874	2108	0.889	0	1	1	0	3	0	3	100.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
11	"Johnson, Chad"		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
12	"Campbell, Jack"	WIT	4	169	3.91	0	2	1	0	0	11	104	115	0.904	0	0	0	2	3	0	3	100.0	1	0	0	0	0	0	0	0	2019-20	Regular	Veteran
13	"Copley, Pheonix"		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
14	"Crawford, Corey"	OAK	0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
15	"Darling, Scott"		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
16	"Delia, Collin"		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Rookie
17	"Dell, Aaron"	WIT	19	1136	4.96	1	14	3	1	0	94	572	666	0.859	0	0	0	0	0	1	1	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
18	"Demko, Thatcher"	KEL	3	101	1.78	0	0	1	0	0	3	62	65	0.954	0	0	0	0	0	1	1	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Rookie
19	"DeSmith, Casey"	MIL	4	184	5.87	0	2	1	0	0	18	85	103	0.825	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
20	"Domingue, Louis"	AUG	0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
21	"Dubnyk, Devan"	SEA	80	4789	2.88	53	21	5	2	8	230	2220	2450	0.906	0	1	1	0	3	0	3	100.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
22	"Elliott, Brian"	LSB	4	88	0.68	1	0	0	0	0	1	51	52	0.981	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
23	"Georgiev, Alexandar"	AUG	2	80	4.50	0	0	0	0	0	6	36	42	0.857	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Rookie
24	"Gibson, John"	SCS	71	4257	3.24	29	31	10	1	1	230	2240	2470	0.907	0	3	3	0	1	0	1	100.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
25	"Greiss, Thomas"	OAK	82	4869	2.70	51	22	6	6	6	219	2296	2515	0.913	0	1	1	10	34	40	74	45.9	5	0	0	0	0	0	0	0	2019-20	Regular	Veteran
26	"Grubauer, Philipp"	GRE	59	3426	3.52	19	31	6	6	1	201	1700	1901	0.894	0	0	0	12	14	26	40	35.0	6	0	0	0	0	0	0	0	2019-20	Regular	Veteran
27	"Halak, Jaroslav"	IND	77	4487	2.78	50	16	8	3	5	208	2095	2303	0.910	0	2	2	18	31	55	86	36.0	9	0	0	0	0	0	0	0	2019-20	Regular	Veteran
28	"Hart, Carter"	MSG	20	988	4.49	5	11	0	0	0	74	635	709	0.896	0	0	0	2	20	20	40	50.0	1	0	0	0	0	0	0	0	2019-20	Regular	Rookie
29	"Hellebuyck, Connor"	CIN	59	3554	3.68	18	32	8	3	0	218	1802	2020	0.892	0	0	0	6	3	0	3	100.0	3	0	0	0	0	0	0	0	2019-20	Regular	Veteran
30	"Hill, Adin"		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Rookie
31	"Holtby, Braden"	MSG	60	3437	3.93	23	32	3	2	1	225	1908	2133	0.895	0	0	0	12	30	36	66	45.5	6	0	0	0	0	0	0	0	2019-20	Regular	Veteran
32	"Howard, Jimmy"		14	788	3.43	4	8	1	3	0	45	412	457	0.902	0	2	2	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
33	"Hutchinson, Michael"		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
34	"Khudobin, Anton"	PEO	78	4584	2.98	41	29	5	5	2	228	2455	2683	0.915	0	1	1	2	0	2	2	0.0	1	0	0	0	0	0	0	0	2019-20	Regular	Veteran
35	"Kinkaid, Keith"	VIC	10	318	3.96	1	3	1	2	0	21	169	190	0.889	0	0	0	2	5	2	7	71.4	1	0	0	0	0	0	0	0	2019-20	Regular	Veteran
36	"Korpisalo, Joonas"	CIN	0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
37	"Koskinen, Mikko"	PEO	8	349	4.99	2	4	0	0	0	29	176	205	0.859	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
38	"Kuemper, Darcy"	STA	76	4551	2.78	44	23	7	1	6	211	2014	2225	0.905	0	7	7	18	58	49	107	54.2	9	0	0	0	0	0	0	0	2019-20	Regular	Veteran
39	"Lehner, Robin"	MIL	79	4635	2.45	56	18	4	2	7	189	2137	2326	0.919	0	1	1	4	28	29	57	49.1	2	0	0	0	0	0	0	0	2019-20	Regular	Veteran
40	"Lundqvist, Henrik"		5	255	5.18	2	2	1	0	0	22	134	156	0.859	0	0	0	0	0	1	1	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
41	"Luongo, Roberto"		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
42	"Fleury, Marc-Andre"	IND	10	442	2.85	5	1	0	0	0	21	213	234	0.910	0	1	1	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
43	"Jones, Martin"		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
44	"Murray, Matt"	OKL	79	4725	3.48	30	40	6	3	4	274	2738	3012	0.909	0	0	0	8	3	4	7	42.9	4	0	0	0	0	0	0	0	2019-20	Regular	Veteran
45	"Smith, Mike"		1	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	1	0	1	100.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
46	"Subban, Malcolm"		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Rookie
47	"Markstrom, Jacob"	SCS	3	137	4.38	0	2	0	1	0	10	62	72	0.861	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
48	"McElhinney, Curtis"	SEA	3	154	3.90	2	1	0	0	0	10	97	107	0.907	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
49	"McKenna, Mike"		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
50	"Montembeault, Sam"		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Rookie
51	"Mrazek, Petr"	CIN	25	1402	3.25	11	11	1	5	0	76	708	784	0.903	0	0	0	2	23	13	36	63.9	1	0	0	0	0	0	0	0	2019-20	Regular	Veteran
52	"Neuvirth, Michal"		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
53	"Niemi, Antti"		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
54	"Nilsson, Anders"		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
55	"Petersen, Calvin"	STA	9	407	3.24	3	3	0	1	1	22	234	256	0.914	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Rookie
56	"Pickard, Calvin"	WIT	3	138	3.48	2	1	0	0	0	8	64	72	0.889	0	0	0	0	3	1	4	75.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
57	"Price, Carey"	CHY	68	3996	3.30	35	22	8	2	1	220	2114	2334	0.906	0	1	1	26	57	46	103	55.3	13	0	0	0	0	0	0	0	2019-20	Regular	Veteran
58	"Quick, Jonathan"	OKL	6	212	5.09	0	3	0	0	0	18	132	150	0.880	0	0	0	0	0	1	1	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
59	"Miller, Ryan"	MEM	5	225	4.27	1	2	0	0	0	16	122	138	0.884	0	0	0	0	9	2	11	81.8	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
60	"Raanta, Antti"	MIL	3	121	3.97	1	0	0	0	0	8	52	60	0.867	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
61	"Reimer, James"	GRE	28	1532	4.31	4	18	3	1	2	110	814	924	0.881	0	0	0	6	14	15	29	48.3	3	0	0	0	0	0	0	0	2019-20	Regular	Veteran
62	"Rinne, Pekka"	MEM	80	4680	3.33	36	34	6	3	1	260	2565	2825	0.908	0	2	2	12	4	1	5	80.0	6	0	0	0	0	0	0	0	2019-20	Regular	Veteran
63	"Rittich, David"	CHY	17	957	3.07	8	7	0	1	0	49	442	491	0.900	0	0	0	0	2	2	4	50.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
64	"Saros, Juuse"	OAK	2	37	1.62	0	0	1	0	0	1	34	35	0.971	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
65	"Schneider, Cory"		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
66	"Sparks, Garret"		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Rookie
67	"Stalock, Alex"	MSG	0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
68	"Stolarz, Anthony"		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Rookie
69	"Rask, Tuukka"	SFC	78	4622	3.84	28	42	7	6	0	296	2254	2550	0.884	0	0	0	6	39	36	75	52.0	3	0	0	0	0	0	0	0	2019-20	Regular	Veteran
70	"Talbot, Cam"	SFC	0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
71	"Ullmark, Linus"	ATL	9	539	5.68	0	9	0	0	0	51	330	381	0.866	0	0	0	4	5	4	9	55.6	2	0	0	0	0	0	0	0	2019-20	Regular	Rookie
72	"Varlamov, Semyon"	SEA	0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
73	"Vasilevskiy, Andrei"	KEL	81	4820	3.47	32	38	6	10	1	279	2808	3087	0.910	0	0	0	6	0	2	2	0.0	3	0	0	0	0	0	0	0	2019-20	Regular	Veteran
74	"Ward, Cam"		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
75	"Jarry, Tristan"	LSB	0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran