ATL	82	2	10	2	6	35	75	51	8	88	49	17	74	137	2	2	4	1	0	6	1	2	5	1	0	0	1	0	0	1	10	0	0	0	2	3	406	578	352	504	242	358	1342	399	1	0	2018-19	Regular
AUG	82	7	6	1	15	53	48	44	9	74	38	4	70	104	1	3	3	1	4	3	0	6	2	0	0	0	6	1	1	0	5	0	1	0	0	4	502	510	390	429	306	278	1562	384	2	0	2018-19	Regular
CHY	82	7	8	0	14	71	67	54	14	85	48	12	65	114	1	5	3	0	2	5	0	4	4	0	0	1	7	0	0	0	6	0	0	2	0	2	527	545	502	468	337	294	1589	479	0	0	2018-19	Regular
CIN	82	6	7	1	13	50	44	38	11	58	53	11	85	130	2	2	4	1	4	3	0	3	4	1	0	0	6	0	0	0	5	0	0	2	1	3	460	509	369	434	330	332	1528	372	3	0	2018-19	Regular
GRE	82	4	9	1	9	42	57	50	3	82	45	15	63	146	0	2	4	1	2	5	0	1	6	1	0	0	3	0	1	1	6	0	0	3	0	2	412	456	382	430	331	344	1369	433	1	1	2018-19	Regular
IND	82	9	4	1	19	61	36	49	11	80	40	9	63	139	3	5	2	0	4	2	1	5	3	0	0	0	7	1	0	0	2	1	2	1	0	3	622	407	481	332	338	289	1637	406	0	1	2018-19	Regular
KEL	82	9	4	2	20	53	38	52	8	82	56	5	102	151	0	4	2	1	5	2	1	3	4	1	2	1	6	1	0	1	2	0	2	1	2	3	588	526	458	475	286	307	1600	372	2	1	2018-19	Regular
LSB	82	4	11	0	8	53	66	48	10	80	48	11	73	123	4	3	5	0	1	6	0	2	6	0	0	1	3	1	0	0	9	0	1	1	0	1	533	489	330	373	358	344	1520	449	2	0	2018-19	Regular
MEM	82	9	4	2	20	57	47	44	7	69	61	6	108	146	3	5	2	1	4	2	1	6	1	1	0	1	7	0	0	0	2	1	2	2	1	4	521	547	508	419	320	335	1556	422	0	1	2018-19	Regular
MIL	82	13	1	0	26	66	23	50	16	66	46	5	72	114	2	6	1	0	7	0	0	7	1	0	0	0	11	0	0	1	0	0	1	1	0	11	628	380	519	358	316	259	1593	375	1	2	2018-19	Regular
MSG	82	3	11	1	7	45	94	39	8	59	78	26	114	195	6	1	5	1	2	6	0	2	6	0	0	0	2	0	0	0	11	1	1	0	0	1	491	766	343	627	297	342	1470	421	2	0	2018-19	Regular
OAK	82	8	4	3	19	51	40	63	10	107	46	6	75	122	0	5	1	1	3	3	2	3	2	3	1	0	6	1	0	1	3	0	1	0	3	5	624	419	553	476	371	355	1773	414	2	1	2018-19	Regular
OKL	82	6	8	1	13	41	51	53	9	84	45	6	75	120	0	4	4	0	2	4	1	4	3	1	1	0	4	0	1	1	5	0	1	3	0	2	482	578	390	521	318	349	1474	405	0	0	2018-19	Regular
PEO	82	7	5	2	16	45	34	36	9	59	46	4	78	134	0	2	5	0	5	0	2	4	3	1	0	0	6	1	0	0	3	1	1	1	1	2	552	523	406	413	282	278	1620	344	0	0	2018-19	Regular
SFC	82	4	10	1	9	32	58	51	4	89	54	12	87	149	0	3	3	1	1	7	0	2	5	1	1	0	1	0	0	0	9	0	3	1	1	2	471	501	468	468	314	323	1642	448	1	0	2018-19	Regular
SEA	82	12	3	0	24	59	30	47	6	76	58	9	96	158	1	6	1	0	6	2	0	6	2	0	1	0	9	0	0	1	2	0	2	1	0	5	487	489	442	496	345	323	1514	380	0	3	2018-19	Regular
SCS	82	5	9	1	11	58	65	65	19	98	55	9	89	132	1	5	2	1	0	7	0	2	5	1	0	0	3	1	1	1	8	0	1	0	0	1	427	377	573	446	335	339	1406	404	2	0	2018-19	Regular
STA	82	9	3	2	20	66	45	65	14	105	37	9	61	98	5	5	2	0	4	1	2	5	2	1	0	0	8	0	1	0	3	1	1	0	0	7	597	412	541	367	344	296	1765	419	0	0	2018-19	Regular
VIC	82	7	7	1	15	40	46	44	7	76	40	5	71	155	1	4	2	1	3	5	0	3	4	1	0	0	4	0	0	0	5	0	3	2	1	3	438	555	472	442	299	343	1325	394	2	1	2018-19	Regular
WIT	82	4	11	0	8	48	62	46	7	77	46	10	73	123	1	3	5	0	1	6	0	3	5	0	0	2	4	1	0	0	8	0	0	2	0	1	513	554	465	461	365	373	1477	430	1	0	2018-19	Regular