16	46	2568	2.83	19	17	8	6	3	121	1156	1277	0.905	0	0	0	0	3	4	5	2019-20
21	60	3510	2.77	36	16	7	12	1	162	1796	1958	0.917	0	1	1	2	3	3	2	2019-20
24	50	2785	3.51	17	27	4	6	2	163	1513	1676	0.903	0	2	2	0	4	4	2	2019-20
110	35	1860	3.16	9	18	5	8	1	98	927	1025	0.904	0	0	0	0	3	3	3	2019-20
119	32	1876	1.89	24	5	1	5	5	59	748	807	0.927	0	0	0	0	3	4	4	2019-20
123	46	2637	1.98	27	15	2	15	7	87	1236	1323	0.934	0	2	2	2	3	3	4	2019-20
128	23	1264	2.61	10	10	0	3	2	55	614	669	0.918	0	0	0	0	4	4	2	2019-20
135	62	3557	2.58	37	24	1	7	9	153	1603	1756	0.913	0	0	0	2	4	4	2	2019-20
191	21	1165	2.52	13	6	2	2	1	49	603	652	0.925	0	0	0	0	3	3	2	2019-20
228	31	1593	2.3	10	14	1	7	2	61	784	845	0.928	0	1	1	0	3	3	3	2019-20
304	27	1529	2.9	16	7	3	4	1	74	702	776	0.905	0	1	1	0	2	2	2	2019-20
313	39	2213	2.93	14	18	5	7	2	108	1068	1176	0.908	0	4	4	0	3	3	3	2019-20
335	8	486	3.33	2	4	2	0	0	27	206	233	0.884	0	0	0	0	2	2	2	2019-20
349	16	831	3.61	6	4	3	4	0	50	495	545	0.908	0	0	0	0	2	2	3	2019-20
350	25	1323	3.17	10	8	4	4	2	70	543	613	0.886	0	0	0	0	2	2	2	2019-20
354	9	534	2.81	4	3	1	0	0	25	263	288	0.913	0	1	1	0	2	3	2	2019-20
362	36	1944	2.75	15	11	5	8	3	89	971	1060	0.916	0	0	0	2	2	3	2	2019-20
375	26	1561	2.88	21	5	0	0	0	75	737	812	0.908	0	1	1	4	4	3	3	2019-20
396	67	3855	2.54	31	28	6	12	2	163	1714	1877	0.913	0	2	2	2	3	3	2	2019-20
431	26	1397	2.96	11	11	1	4	1	69	672	741	0.907	0	1	1	2	3	3	2	2019-20
483	61	3635	2.51	35	21	5	9	8	152	1593	1745	0.913	0	2	2	4	4	3	2	2019-20
541	33	1874	2.91	14	13	4	5	2	91	966	1057	0.914	0	2	2	2	4	4	2	2019-20
547	58	3233	2.84	26	22	8	8	2	153	1685	1838	0.917	0	0	0	2	3	4	2	2019-20
597	43	2294	2.28	23	14	2	6	5	87	1098	1185	0.927	0	1	1	4	4	3	3	2019-20
603	37	2021	2.64	18	9	5	4	3	89	982	1071	0.917	0	0	0	0	4	3	3	2019-20
627	40	2308	2.34	22	11	4	7	5	90	1068	1158	0.922	0	4	4	0	3	3	3	2019-20
650	31	1717	2.83	16	13	1	4	0	81	895	976	0.917	0	0	0	0	3	4	4	2019-20
677	63	3704	2.9	34	23	3	8	2	179	1872	2051	0.913	0	3	3	4	4	5	2	2019-20
689	13	696	2.76	7	5	0	3	1	32	290	322	0.901	0	0	0	0	3	3	2	2019-20
707	59	3407	2.82	32	19	5	10	3	160	1635	1795	0.911	0	2	2	2	3	4	3	2019-20
717	55	3053	3.07	23	22	5	8	0	156	1553	1709	0.909	0	1	1	2	4	3	2	2019-20
734	9	496	3.27	3	4	2	0	1	27	212	239	0.887	0	0	0	0	2	3	2	2019-20
736	50	2840	3	18	25	5	13	0	142	1399	1541	0.908	0	1	1	2	3	3	2	2019-20
751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-20
768	19	811	3.63	2	11	0	3	1	49	357	406	0.879	0	0	0	0	2	3	2	2019-20
784	62	3597	2.94	36	19	5	8	3	176	1523	1699	0.896	0	1	1	2	3	4	2	2019-20
833	41	2220	2.57	16	17	5	2	2	95	1137	1232	0.923	0	0	0	2	5	4	2	2019-20
838	41	2302	3.36	15	18	6	8	3	129	1059	1188	0.891	0	0	0	0	4	3	4	2019-20
866	27	1361	2.95	10	7	3	4	0	67	584	651	0.897	0	0	0	0	4	4	2	2019-20
867	55	2992	2.93	25	21	6	8	4	146	1405	1551	0.906	0	2	2	2	4	2	2	2019-20
889	55	3251	2.33	27	20	8	4	5	126	1550	1676	0.925	0	2	2	14	3	3	3	2019-20
950	46	2616	2.13	25	13	5	4	6	93	1230	1323	0.93	0	1	1	0	5	4	3	2019-20
996	52	3089	3.07	18	23	10	13	0	158	1541	1699	0.907	0	3	3	0	3	3	2	2019-20
997	43	2347	3.12	18	16	5	8	1	122	1083	1205	0.899	0	1	1	0	3	2	2	2019-20
1037	60	3599	2.77	28	23	9	4	1	166	1730	1896	0.912	0	3	3	2	5	4	2	2019-20
1076	33	1978	2.58	20	11	2	3	2	85	883	968	0.912	0	0	0	0	3	2	2	2019-20
1083	11	511	3.99	1	5	1	3	0	34	282	316	0.892	0	0	0	0	2	2	2	2019-20
1114	20	1109	2.76	8	7	2	2	1	51	527	578	0.912	0	0	0	0	2	2	4	2019-20
1126	11	591	3.05	4	3	2	2	0	30	252	282	0.894	0	1	1	0	4	4	2	2019-20
1145	40	2387	2.39	23	14	3	9	4	95	1009	1104	0.914	0	1	1	6	4	3	4	2019-20
1154	50	2880	2.69	29	14	6	4	4	129	1465	1594	0.919	0	0	0	4	3	3	2	2019-20
1173	7	366	4.26	1	4	1	0	0	26	158	184	0.859	0	0	0	0	3	3	3	2019-20
1180	17	969	3.78	8	6	2	2	0	61	478	539	0.887	0	1	1	0	3	3	2	2019-20
1188	36	2040	2.97	14	19	1	9	2	101	997	1098	0.908	0	1	1	0	3	2	2	2019-20
1285	11	622	2.6	5	4	1	4	1	27	328	355	0.924	0	0	0	0	2	2	2	2019-20
1297	17	747	3.86	4	6	2	5	1	48	336	384	0.875	0	0	0	2	3	3	3	2019-20
1321	66	3880	2.49	35	24	6	7	4	161	1791	1952	0.918	0	1	1	2	4	4	4	2019-20
1341	46	2648	3.38	16	23	7	5	2	149	1180	1329	0.888	0	2	2	6	3	3	2	2019-20
1344	12	687	2.88	5	6	0	1	0	33	318	351	0.906	0	1	1	0	3	3	2	2019-20
1354	46	2635	2.48	27	13	5	6	4	109	1136	1245	0.912	0	2	2	4	4	3	3	2019-20
1370	36	1805	3.09	13	12	5	4	0	93	836	929	0.9	0	0	0	0	4	3	3	2019-20
1382	56	3220	2.42	30	19	4	3	4	130	1451	1581	0.918	0	0	0	4	3	4	2	2019-20
1387	45	2503	2.61	27	9	5	0	1	109	1119	1228	0.911	0	0	0	4	3	3	2	2019-20
1440	31	1696	2.62	17	10	2	5	3	74	796	870	0.915	0	0	0	0	4	4	2	2019-20
1461	26	1372	3.06	6	13	4	6	1	70	648	718	0.903	0	0	0	0	4	3	2	2019-20
1531	42	2400	2.73	23	16	2	5	2	109	960	1069	0.898	0	3	3	2	2	3	5	2019-20
1545	20	1105	3.15	8	9	1	4	1	58	534	592	0.902	0	0	0	0	2	3	3	2019-20
1558	21	1065	2.99	6	8	3	5	0	53	472	525	0.899	0	2	2	4	4	4	4	2019-20
1574	18	869	3.45	4	5	3	1	1	50	453	503	0.901	0	0	0	0	3	2	2	2019-20
1593	21	1227	2.93	8	10	2	2	1	60	552	612	0.902	0	0	0	4	4	4	2	2019-20
1611	35	1906	3.4	11	17	3	9	1	108	889	997	0.892	0	1	1	0	3	4	3	2019-20
1673	37	2102	3.11	15	14	5	4	2	109	1037	1146	0.905	0	1	1	0	4	3	3	2019-20
1687	49	2839	2.87	20	19	9	12	2	136	1360	1496	0.909	0	0	0	2	4	3	2	2019-20
1690	53	3204	2.4	39	10	4	6	6	128	1585	1713	0.925	0	3	3	6	4	4	2	2019-20
1724	33	1882	3.67	16	12	4	7	0	115	998	1113	0.897	0	1	1	4	2	2	2	2019-20
16	24	1339	2.15	12	6	3	7	2	48	607	655	0.927	0	0	0	0	3	4	5	2020-21
21	52	3007	2.85	29	13	7	5	3	143	1434	1577	0.909	0	0	0	0	3	3	2	2020-21
24	34	1845	3.25	11	17	2	6	0	100	918	1018	0.902	0	1	1	0	4	4	2	2020-21
110	46	2566	2.95	15	22	3	10	1	126	1227	1353	0.907	0	3	3	4	4	3	3	2020-21
119	50	2948	2.56	30	13	7	8	3	126	1304	1430	0.912	0	1	1	4	4	4	3	2020-21
123	44	2474	2.5	21	16	4	6	2	103	1183	1286	0.92	0	2	2	2	4	3	4	2020-21
128	47	2684	2.77	22	14	8	6	3	124	1328	1452	0.915	0	1	1	0	4	4	2	2020-21
135	50	2806	3.23	23	19	6	6	1	151	1354	1505	0.9	0	0	0	0	4	4	2	2020-21
191	19	988	3.28	6	7	1	1	0	54	458	512	0.895	0	0	0	0	3	3	2	2020-21
228	26	1567	2.8	11	12	3	4	0	73	688	761	0.904	0	0	0	0	3	3	3	2020-21
313	40	2340	2.77	16	20	3	8	1	108	1186	1294	0.917	0	0	0	0	2	2	3	2020-21
350	33	1834	3.01	12	15	3	5	0	92	894	986	0.907	0	0	0	0	2	2	2	2020-21
354	27	1529	3.06	13	10	2	5	0	78	744	822	0.905	0	0	0	0	2	3	2	2020-21
375	17	803	3.81	3	9	2	1	0	51	382	433	0.882	0	0	0	0	4	3	3	2020-21
2026	12	643	2.05	7	2	1	2	1	22	332	354	0.938	0	0	0	0	2	3	2	2020-21
396	30	1665	3.35	12	15	2	6	1	93	756	849	0.89	0	0	0	2	3	3	2	2020-21
431	31	1674	2.87	16	7	4	5	2	80	716	796	0.899	0	1	1	2	3	3	2	2020-21
483	49	2880	2.77	27	16	5	3	5	133	1266	1399	0.905	0	0	0	8	4	3	2	2020-21
501	34	1914	2.41	21	7	4	5	1	77	919	996	0.923	0	0	0	2	2	2	2	2020-21
541	34	1892	3.04	17	14	2	6	2	96	967	1063	0.91	0	1	1	0	4	4	2	2020-21
547	51	2981	3	20	26	5	6	1	149	1403	1552	0.904	0	0	0	6	3	4	2	2020-21
597	31	1596	2.74	16	9	4	2	0	73	765	838	0.913	0	0	0	2	4	3	3	2020-21
603	36	2057	2.63	18	12	4	7	2	90	977	1067	0.916	0	0	0	0	4	3	2	2020-21
627	31	1833	2.39	18	6	6	3	3	73	832	905	0.919	0	2	2	0	3	3	3	2020-21
650	43	2356	2.42	24	13	3	3	1	95	1005	1100	0.914	0	0	0	0	4	4	4	2020-21
677	58	3269	2.57	31	21	5	6	6	140	1656	1796	0.922	0	2	2	0	4	5	2	2020-21
689	13	641	2.62	2	4	3	3	0	28	315	343	0.918	0	0	0	2	3	3	2	2020-21
1858	24	1345	3.12	5	8	8	3	0	70	658	728	0.904	0	0	0	0	2	2	2	2020-21
707	48	2743	3.11	25	14	6	5	0	142	1243	1385	0.897	0	1	1	4	3	3	4	2020-21
717	27	1372	4.2	2	23	2	8	0	96	721	817	0.882	0	0	0	0	4	3	2	2020-21
734	16	847	3.47	5	9	1	3	1	49	390	439	0.888	0	0	0	0	2	3	2	2020-21
736	31	1775	3.18	12	14	4	6	2	94	824	918	0.898	0	1	1	6	3	3	2	2020-21
751	33	1926	2.43	20	12	1	8	3	78	907	985	0.921	0	0	0	0	3	2	2	2020-21
2027	6	327	2.94	1	3	1	1	0	16	135	151	0.894	0	0	0	0	2	3	2	2020-21
784	41	2360	3	17	21	2	10	2	118	1021	1139	0.896	0	1	1	0	3	4	2	2020-21
1862	5	304	2.96	3	1	1	1	0	15	157	172	0.913	0	0	0	0	4	3	2	2020-21
833	30	1677	2.22	16	8	4	3	0	62	820	882	0.93	0	3	3	4	5	4	2	2020-21
838	6	340	4.24	1	1	3	0	0	24	168	192	0.875	0	0	0	0	4	3	4	2020-21
2028	6	285	2.95	1	1	2	0	0	14	123	137	0.898	0	0	0	0	2	2	2	2020-21
866	37	2126	2.6	19	12	5	4	2	92	938	1030	0.911	0	1	1	0	4	4	2	2020-21
867	38	2117	2.75	18	13	3	6	1	97	1078	1175	0.917	0	0	0	0	4	3	2	2020-21
889	29	1753	2.22	16	11	2	2	2	65	838	903	0.928	0	0	0	6	3	3	3	2020-21
950	36	2055	2.89	19	10	5	4	1	99	1136	1235	0.92	0	0	0	4	4	4	3	2020-21
1873	6	361	3.32	2	4	0	2	0	20	158	178	0.888	0	0	0	0	3	4	2	2020-21
996	30	1597	3.16	10	12	3	5	1	84	799	883	0.905	0	0	0	2	3	3	2	2020-21
1037	43	2552	2.75	23	16	4	8	2	117	1303	1420	0.918	0	1	1	4	5	4	2	2020-21
1076	18	1081	2.89	8	7	3	4	1	52	499	551	0.906	0	0	0	0	3	2	2	2020-21
1099	33	1815	2.35	13	9	8	2	5	71	848	919	0.923	0	0	0	0	3	3	2	2020-21
1114	23	1238	3.1	9	6	4	2	0	64	621	685	0.907	0	1	1	0	3	3	4	2020-21
1126	14	701	3.34	5	5	1	4	0	39	317	356	0.89	0	0	0	0	4	4	2	2020-21
1145	40	2321	2.69	21	16	2	5	3	104	987	1091	0.905	0	0	0	4	4	3	4	2020-21
1154	38	2238	2.87	20	11	5	3	1	107	948	1055	0.899	0	1	1	2	3	3	2	2020-21
1188	20	1093	3.18	9	9	2	1	0	58	570	628	0.908	0	0	0	0	3	2	2	2020-21
1285	8	477	2.64	5	3	0	2	0	21	248	269	0.922	0	0	0	0	2	2	1	2020-21
1321	58	3440	2.79	27	25	6	9	4	160	1595	1755	0.909	0	0	0	6	4	4	5	2020-21
1341	42	2516	2.79	16	22	4	9	1	117	1107	1224	0.904	0	1	1	0	3	3	2	2020-21
1344	33	1823	2.63	15	14	3	5	2	80	934	1014	0.921	0	0	0	2	3	3	2	2020-21
1354	41	2402	2.12	26	8	6	6	5	85	1104	1189	0.929	0	2	2	0	4	3	3	2020-21
1370	25	1378	2.66	14	6	2	2	3	61	651	712	0.914	0	0	0	2	4	3	3	2020-21
1382	36	1988	3.17	18	14	4	6	3	105	899	1004	0.895	1	2	3	0	3	4	2	2020-21
1387	48	2792	2.97	24	17	6	7	2	138	1340	1478	0.907	0	1	1	6	3	3	2	2020-21
1430	26	1411	2.55	16	6	2	5	1	60	629	689	0.913	0	0	0	2	3	4	2	2020-21
1440	40	2177	2.7	17	12	4	5	4	98	1044	1142	0.914	0	0	0	0	4	4	2	2020-21
1461	13	679	3.53	3	6	2	1	1	40	315	355	0.887	0	1	1	0	4	3	2	2020-21
2029	12	692	2.51	10	2	0	0	0	29	395	424	0.932	0	0	0	0	3	4	2	2020-21
1531	39	2157	2.95	19	12	6	6	1	106	981	1087	0.902	0	2	2	21	2	3	5	2020-21
1558	38	2177	2.67	20	11	4	5	4	97	985	1082	0.91	0	1	1	4	4	4	4	2020-21
1593	21	1134	3.17	9	7	3	0	0	60	486	546	0.89	0	0	0	0	4	4	2	2020-21
1611	26	1435	2.63	12	10	1	6	2	63	717	780	0.919	0	0	0	21	3	4	3	2020-21
1673	34	2027	2.69	17	14	3	7	1	91	975	1066	0.915	0	0	0	4	4	3	3	2020-21
1687	45	2517	2.62	19	14	6	5	2	110	1168	1278	0.914	0	0	0	0	4	3	2	2020-21
1690	52	3122	2.56	35	14	3	5	3	133	1472	1605	0.917	0	4	4	4	4	4	2	2020-21